"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{9C3AF32E-8104-465A-9843-56EDC2B024BB}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Package Generator/Content Editor/Context Menu/Packaging/Download Package","__Short description","Download Package","Download the current package date to file.",""
"{B9B4D349-D805-4743-A5FE-787EFAF52DDD}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Package Generator/Content Editor/Context Menu/Packaging/Quick Download Tree as Package","__Short description","Quick Download Tree as Package","In a hurry? Download the selected tree and descendants to a package.",""
"{5DFA45C3-35E2-4E8C-B341-2DDF5CECEAC1}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Ribbon/Item/Edit","__Short description","Edit","Edit the script in the PowerShell ISE.",""
"{241922F3-E622-49A4-8754-8BFBE051EA83}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Ribbon/Item/Open","__Short description","Open","Open the item in the Content Editor.",""
"{54C08CF9-8939-4D52-9064-BD6E4A4DF364}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Ribbon/ScriptSession/Kill","__Short description","Kill","Stop the PowerShell session and cleanup used resources.",""
"{E069898E-AF58-4ABD-AD68-C277BD54509A}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Ribbon/ScriptSession/Refresh","__Short description","Refresh","Refresh the list of PowerShell sessions in memory.",""
"{D6A80D77-F782-4CD4-B465-FFF0615F4C16}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Ribbon/ScriptSession/Open","__Short description","Open","Open the PowerShell session in the Console or ISE.",""
"{C17B827E-2FDC-4997-A2F7-A1831635D701}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/Task Management/Internal/List View/Ribbon/Item/Edit Schedule","__Short description","Edit Schedule","Open a dialog to edit the scheduled task.",""
"{F738CE8E-F56B-479C-A6D0-5FEB1A94DECC}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/Task Management/Internal/List View/Ribbon/Item/Execute Now","__Short description","Execute Now","Trigger the scheduled task to run now.",""
"{409D08B8-13C6-4425-89D7-54B097194CF6}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/User Management/Internal/List View/Ribbon/MembershipUserWrapper/Kick User","__Short description","Kick User","Remove the selected user sessions.",""
"{BB607CB6-AB3B-45CD-93DF-2BAF257F3960}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/User Management/Internal/List View/Ribbon/Session/Kick User","__Short description","Kick User","Remove the selected user sessions.",""
"{AF78E99F-D56D-4B87-9830-D8E03FB84B91}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Internal/List View/Ribbon/Item/Transfer Lock","__Short description","Transfer Lock","Transfer the locked item from one user to another.",""
"{F6A96176-F9E9-4746-AE48-3A6A0F242FED}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Internal/List View/Ribbon/PSObject/Remove Links","__Short description","Remove Links","Remove the broken link from the associated fields.",""
"{A328DBB5-DC6C-4307-AD7C-BC1E330F011A}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Internal/List View/Ribbon/Site/Open","__Short description","Open","Open the selected start item in the Content Editor.",""
"{F4819743-C9D5-48A4-911B-017F8BA1415C}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Elevated Unlock/Content Editor/Ribbon/Security/Tools/Elevated Unlock","__Short description","Elevated Unlock","Use elevated privileges to unlock this item.",""
